"parameter_stable_id","categories"
"ALTIMPC_EYE_023_001","both eyes abnormal,right eye abnormal,left eye abnormal,no data right eye,no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data left eye,normal"
"ALTIMPC_EYE_024_001","normal,right eye abnormal,left eye abnormal,no data right eye,no data left eye,no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,both eyes abnormal"
"ALTIMPC_EYE_025_001","left eye abnormal,no data right eye,no data left eye,normal,no data left eye, right eye abnormal,no data for both eyes,both eyes abnormal,right eye abnormal,no data right eye, left eye abnormal"
"ALTIMPC_EYE_026_001","no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data right eye,no data left eye,normal,no data for both eyes,both eyes abnormal,right eye abnormal,left eye abnormal"
"ALTIMPC_EYE_027_001","no data left eye,absent,present both eyes,present right eye,present left eye,no data right eye,no data right eye, present left eye,no data left eye, present right eye,no data for both eyes"
"ALTIMPC_EYE_080_001","no data right eye, present left eye,no data left eye, present right eye,present both eyes,present right eye,absent,present left eye,no data for both eyes,no data right eye,no data left eye"
"ALTIMPC_EYE_081_001","no data for both eyes,no data right eye,no data left eye,absent,no data left eye, present right eye,present both eyes,present right eye,present left eye,no data right eye, present left eye"
"ALTIMPC_EYE_082_001","both eyes abnormal,right eye abnormal,left eye abnormal,no data for both eyes,no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data right eye,no data left eye,normal"
"ALTIMPC_EYE_083_001","no data left eye,normal,right eye abnormal,left eye abnormal,no data for both eyes,no data right eye,no data right eye, left eye abnormal,no data left eye, right eye abnormal,both eyes abnormal"
"ALTIMPC_EYE_084_001","no data left eye,present both eyes,present right eye,present left eye,no data right eye, present left eye,no data left eye, present right eye,no data for both eyes,no data right eye,absent"
"ALTIMPC_EYE_085_001","no data right eye, present left eye,present both eyes,present right eye,present left eye,absent,no data left eye, present right eye,no data for both eyes,no data right eye,no data left eye"
"ALTIMPC_EYE_086_001","present right eye,present left eye,absent,no data for both eyes,no data right eye,no data left eye,present both eyes,no data right eye, present left eye,no data left eye, present right eye"
"ALTIMPC_EYE_092_002","no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data left eye,normal,both eyes abnormal,right eye abnormal,left eye abnormal,no data right eye"
"ALTIMPC_PAT_076_001","Yes,No"
"ALTMGP_ELO_001_001","tissue not available,ambiguous,no expression,expression"
"ALTMGP_ELL_001_001","tissue not available,ambiguous,no expression,expression"
"ALTIMPC_ABR_016_001","No,Yes"
"ALTIMPC_WEL_005_001","Withdrawn: Line Level Health Concern,Withdrawn: Individual Health Concern,Found Dead,Alive,Withdrawn: Control,Withdrawn: Spare,Withdrawn: Environmental Health Concern"
"ALTIMPC_XRY_001_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_002_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_003_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_004_001","unobservable,abnormal,normal,imageOnly"
"ALTIMPC_XRY_005_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_006_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_007_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_010_001","unobservable,abnormal,normal,imageOnly"
"ALTIMPC_XRY_011_001","fused,imageOnly,unobservable,not fused"
"ALTIMPC_XRY_012_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_018_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_019_001","unobservable,no,yes,imageOnly"
"ALTIMPC_XRY_021_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_022_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_023_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_024_001","unobservable,abnormal,normal,imageOnly"
"ALTIMPC_XRY_025_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_026_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_027_001","normal,imageOnly,unobservable,abnormal"
"ALTIMPC_XRY_029_001","unobservable,no syndactylism,Syndactylism,imageOnly"
"ALTIMPC_XRY_030_001","yes,imageOnly,unobservable,no"
"ALTIMPC_XRY_031_001","yes,imageOnly,unobservable,no"
"ALTIMPC_XRY_055_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_056_001","no,yes,unobservable,imageOnly"
"ALTIMPC_XRY_057_001","unobservable,imageOnly,no,yes"
"ALTIMPC_XRY_058_001","no,yes,unobservable,imageOnly"
"ALTIMPC_XRY_059_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_060_001","no,yes,unobservable,imageOnly"
"ALTIMPC_XRY_061_001","unobservable,imageOnly,no,yes"
"ALTIMPC_XRY_062_001","no,yes,unobservable,imageOnly"
"ALTIMPC_XRY_063_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_064_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_065_001","unobservable,imageOnly,abnormal,normal"
"ALTIMPC_XRY_066_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_067_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_069_001","abnormal,normal,unobservable,imageOnly"
"ALTIMPC_XRY_070_001","unobservable,normal,abnormal,imageOnly"
"ALTIMPC_XRY_071_001","unobservable,abnormal,normal,imageOnly"
"ALTIMPC_XRY_072_001","normal,unobservable,abnormal,imageOnly"
"ALTIMPC_XRY_073_001","abnormal,unobservable,imageOnly,normal"
"ALTIMPC_XRY_074_001","imageOnly,abnormal,unobservable,normal"
"ALTIMPC_EXD_007_001","Regular control with phenotyping run (same week),Biweekly control,Weekly control,Parallel control with knockout,Monthly control"
"ALTIMPC_EXD_011_001","No,Yes"
"ALTIMPC_EXD_013_001","Internally sourced,Externally sourced"
"ALTIMPC_EXD_014_001","Uncontrolled stock management,Externally managed control,Control breeding"
"ALTIMPC_EXD_015_001","Variable batch,Multiple batches,Single batch mixed,Single batch per sex,Single batch"
"ALTIMPC_EXD_016_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_017_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_018_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_019_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_020_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_021_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_022_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_023_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_024_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_025_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_026_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_027_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_028_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_029_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_030_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_031_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_032_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_033_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_034_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_035_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_036_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_037_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_038_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_039_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_040_001","Genotype free blinding,Blinded,Unblinded,Test not run,Allele free blinding"
"ALTIMPC_EXD_041_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_042_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_043_001","Allele free blinding,Genotype free blinding,Blinded,Unblinded,Test not run"
"ALTIMPC_EXD_044_001","Test not run,Allele free blinding,Genotype free blinding,Blinded,Unblinded"
"ALTIMPC_EXD_045_001","Blinded,Unblinded,Test not run,Allele free blinding,Genotype free blinding"
"ALTIMPC_EXD_046_001","Unblinded,Test not run,Allele free blinding,Genotype free blinding,Blinded"
"ALTIMPC_EXD_047_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_048_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_049_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_050_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_051_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_052_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_053_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_054_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_055_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_056_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_057_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_058_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_059_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_060_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_061_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_062_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_063_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_064_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_065_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_066_001","Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy"
"ALTIMPC_EXD_067_001","Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy,Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_068_001","Active randomisation instrumentation strategy,Controlled instrumentation strategy,Test not run,Causal randomisation and minimisation instrumentation strategy,Causal randomisation instrumentation strategy,Active randomisation and minimisation instrumentation strategy"
"ALTIMPC_EXD_069_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_070_001","Single operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator"
"ALTIMPC_EXD_071_001","Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Test not run,Active operator randomisation,Single operator"
"ALTIMPC_EXD_072_001","Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator"
"ALTIMPC_EXD_073_001","Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator"
"ALTIMPC_EXD_074_001","Single operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator"
"ALTIMPC_EXD_075_001","Test not run,Active operator randomisation,Single operator,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation"
"ALTIMPC_EXD_076_001","Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator"
"ALTIMPC_EXD_077_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_078_001","Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator,Single operator"
"ALTIMPC_EXD_079_001","Active operator randomisation,Single operator,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Test not run"
"ALTIMPC_EXD_080_001","Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator"
"ALTIMPC_EXD_081_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_082_001","Test not run,Minimized operator,Single operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation"
"ALTIMPC_EXD_083_001","Active operator randomisation,Single operator,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Test not run"
"ALTIMPC_EXD_084_001","Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator"
"ALTIMPC_EXD_085_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_086_001","Single operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator"
"ALTIMPC_EXD_087_001","Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Test not run,Active operator randomisation,Single operator"
"ALTIMPC_EXD_088_001","Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator"
"ALTIMPC_EXD_089_001","Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator"
"ALTIMPC_EXD_090_001","Single operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator"
"ALTIMPC_EXD_091_001","Test not run,Active operator randomisation,Single operator,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation"
"ALTIMPC_EXD_092_001","Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator"
"ALTIMPC_EXD_093_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_094_001","Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Test not run,Minimized operator,Single operator"
"ALTIMPC_EXD_095_001","Active operator randomisation,Single operator,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Test not run"
"ALTIMPC_EXD_096_001","Test not run,Minimized operator,Balanced operator with minimisation,Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator"
"ALTIMPC_EXD_097_001","Balanced operator,Active operator randomisation with minimisation,Active operator randomisation,Single operator,Test not run,Minimized operator,Balanced operator with minimisation"
"ALTIMPC_EXD_098_001","Uncontrolled time effect,Randomised time effect,Controlled time effect"
"ALTIMPC_EXD_099_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_100_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_101_001","Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run"
"ALTIMPC_EXD_102_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_103_001","Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation"
"ALTIMPC_EXD_104_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_105_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_106_001","Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage"
"ALTIMPC_EXD_107_001","Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation"
"ALTIMPC_EXD_108_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_109_001","Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run"
"ALTIMPC_EXD_110_001","Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage"
"ALTIMPC_EXD_111_001","Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation"
"ALTIMPC_EXD_112_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_113_001","Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run"
"ALTIMPC_EXD_114_001","Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage"
"ALTIMPC_EXD_115_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_116_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_117_001","Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run"
"ALTIMPC_EXD_118_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_119_001","Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation"
"ALTIMPC_EXD_120_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_121_001","Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation,Alternate animal order"
"ALTIMPC_EXD_122_001","Cage casual randomisation,Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage"
"ALTIMPC_EXD_123_001","Cage active randomisation,Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation"
"ALTIMPC_EXD_124_001","Alternate animal order,Test not run,Casual randomisation within a cage,Cage casual randomisation,Cage active randomisation"
"ALTIMPC_EXD_125_001","Test not run,Passive subject selection strategy,Active subject selection strategy,First subject availability strategy"
"ALTIMPC_EXD_126_001","Test not run,Passive subject selection strategy,Active subject selection strategy,First subject availability strategy"
"ALTIMPC_HEM_041_001","No,Yes"
"ALTIMPC_GPO_001_001","unobservable,abnormal,normal"
"ALTIMPC_GPO_002_001","normal,unobservable,abnormal"
"ALTIMPC_GPO_003_001","abnormal,normal,unobservable"
"ALTIMPC_GPO_004_001","unobservable,abnormal,normal"
"ALTIMPC_GPO_005_001","unobservable,abnormal,normal"
"ALTIMPC_GPO_018_001","no,unobservable,yes"
"ALTIMPC_EYE_020_001","no data right eye,no data left eye,normal,no data for both eyes,both eyes abnormal,right eye abnormal,left eye abnormal,no data right eye, left eye abnormal,no data left eye, right eye abnormal"
"ALTIMPC_EYE_021_001","no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,no data left eye,normal,both eyes abnormal,right eye abnormal,left eye abnormal,no data right eye"
"ALTIMPC_EYE_022_001","normal,right eye abnormal,left eye abnormal,no data right eye,no data left eye,no data right eye, left eye abnormal,no data left eye, right eye abnormal,no data for both eyes,both eyes abnormal"
"ALTMGP_CSD_001_001","No struggle,Struggles when laid supine,Struggles when held by the neck,Struggles when held by the tail"
"ALTMGP_CSD_002_001","Absent,Present"
"ALTMGP_CSD_003_001","Present,Absent"
"ALTMGP_CSD_004_001","As expected,Extended freeze"
"ALTMGP_CSD_005_001","Lack of fluidity in movement,Fluid movement"
"ALTMGP_CSD_006_001","As expected,Straub tail,Dragging tail"
"ALTMGP_CSD_007_001","Present,Absent"
"ALTMGP_CSD_008_001","Reaction in addition to the Preyer reflex,Preyer reflex,None"
"ALTMGP_CSD_009_001","Present,Absent"
"ALTMGP_CSD_010_001","Absent,Present"
"ALTMGP_CSD_011_001","Present,Absent"
"ALTMGP_CSD_012_001","Absent,Present"
"ALTMGP_CSD_013_001","Present,Absent"
"ALTMGP_CSD_015_001","Other abnormalities,Absent,Patchy & sparse,Sparse,Patchy,As expected"
"ALTMGP_CSD_016_001","As expected,Abnormal"
"ALTMGP_CSD_017_001","Abnormal,As expected"
"ALTMGP_CSD_018_001","As expected,Other abnormal coat appearances,Waved,Matted,Rough"
"ALTMGP_CSD_019_001","Mixed,Short,Long,As expected"
"ALTMGP_CSD_020_001","Patchy & sparse,Sparse,Patchy,As expected,Other abnormalities,Absent"
"ALTMGP_CSD_021_001","Abnormal,As expected"
"ALTMGP_CSD_022_001","Abnormal,As expected"
"ALTMGP_CSD_023_001","Rough,As expected,Other abnormal coat appearances,Waved,Matted"
"ALTMGP_CSD_024_001","Mixed,Short,Long,As expected"
"ALTMGP_CSD_025_001","As expected,Absent,Patchy & sparse,Sparse,Patchy,Other abnormalities"
"ALTMGP_CSD_026_001","Abnormal,As expected"
"ALTMGP_CSD_027_001","As expected,Abnormal"
"ALTMGP_CSD_028_001","Other abnormal coat appearances,Waved,Matted,Rough,As expected"
"ALTMGP_CSD_029_001","Long,As expected,Mixed,Short"
"ALTMGP_CSD_030_001","Patchy,As expected,Other abnormalities,Absent,Patchy & sparse,Sparse"
"ALTMGP_CSD_031_001","Abnormal,As expected"
"ALTMGP_CSD_032_001","Abnormal,As expected"
"ALTMGP_CSD_033_001","Waved,Matted,Rough,As expected,Other abnormal coat appearances"
"ALTMGP_CSD_034_001","Short,Long,As expected,Mixed"
"ALTMGP_CSD_035_001","Sparse,Patchy,As expected,Other abnormalities,Absent,Patchy & sparse"
"ALTMGP_CSD_036_001","Abnormal,As expected"
"ALTMGP_CSD_037_001","Abnormal,As expected"
"ALTMGP_CSD_038_001","As expected,Other abnormal coat appearances,Waved,Matted,Rough"
"ALTMGP_CSD_039_001","Mixed,Short,Long,As expected"
"ALTMGP_CSD_040_001","Other abnormalities,Absent,Patchy & sparse,Sparse,Patchy,As expected"
"ALTMGP_CSD_041_001","Abnormal,As expected"
"ALTMGP_CSD_042_001","Abnormal,As expected"
"ALTMGP_CSD_043_001","Rough,As expected,Other abnormal coat appearances,Waved,Matted"
"ALTMGP_CSD_044_001","As expected,Mixed,Short,Long"
"ALTMGP_CSD_045_001","Absent,Patchy & sparse,Sparse,Patchy,Other abnormalities,As expected"
"ALTMGP_CSD_046_001","Abnormal,As expected"
"ALTMGP_CSD_047_001","As expected,Abnormal"
"ALTMGP_CSD_048_001","Matted,Rough,As expected,Other abnormal coat appearances,Waved"
"ALTMGP_CSD_049_001","Mixed,Short,Long,As expected"
"ALTMGP_CSD_050_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_051_001","Abnormal,As expected"
"ALTMGP_CSD_052_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_053_001","Abnormal,As expected"
"ALTMGP_CSD_054_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_055_001","Abnormal,As expected"
"ALTMGP_CSD_056_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_057_001","Abnormal,As expected"
"ALTMGP_CSD_058_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_059_001","Abnormal,As expected"
"ALTMGP_CSD_060_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_061_001","Abnormal,As expected"
"ALTMGP_CSD_062_001","Dry,As expected,Other abnormal skin appearance,Loose,Scaly,Wet"
"ALTMGP_CSD_063_001","Abnormal,As expected"
"ALTMGP_CSD_064_001","Abnormal,As expected"
"ALTMGP_CSD_065_001","Decreased size,Increased size,As expected"
"ALTMGP_CSD_066_001","Abnormal,As expected"
"ALTMGP_CSD_067_001","Decreased size,Increased size,As expected"
"ALTMGP_CSD_068_001","Absent,Sparse,As expected"
"ALTMGP_CSD_069_001","As expected,Decreased size,Increased size"
"ALTMGP_CSD_070_001","Curly,As expected,Other abnormal shape,Disorientated"
"ALTMGP_CSD_071_001","Abnormal,As expected"
